Регистрационный номер|Дата внесения записи|Полное наименование организации|Основной государственный регистрационный номер организации по ЕГРЮЛ|Основной государственный регистрационный номер организации по ЕГРЮЛ актуальный|Идентификационный номер налогоплательщика|Дата и номер решения  о государственной аккредитации|Сведения об изменениях, внесенных в содержащиеся в реестре сведения об аккредитованной организации (при наличии)|Справочно место регистрации организации / почтовый адрес
1|2008-01-21 00:00:00|Общество с ограниченной ответственностью «ТЛМ Ком»|1045207810218|1045207810218|5262128494|№ 3 от 18.01.2008||ул. Родионова, д. 23, г. Нижний Новгород, Нижегородская обл., 603093
2|2008-01-21 00:00:00|Общество с ограниченной ответственностью «ТЭЛМА СОФТ»|1025203734841|1025203734841|5262068365|№ 2 от 18.01.2008||ул. Алексеевская д. 10/16, пом. П5, г. Нижний Новгород, Нижегородская обл., 603006
3|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Программные технологии»|1026102584771|1026102584771|6154064277|№ 6 от 24.01.2008 (в ред. от 05.09.2013 № 233)||ул. Инструментальная д. 29-2, г. Таганрог, Ростовская обл., 347900
4|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Лестэр Информационные Технологии»|1037739527847|1037739527847|7717129716|№ 7 от 24.01.2008||пер. Рижский 1-й, д. 3, г. Москва, 129278
5|2008-01-25 00:00:00|Закрытое акционерное общество «Научно - производственное предприятие «Логус»|1035004462569|1035004462569|5024013262|№ 8 от 24.01.2008||ул. Жуковского д. 17, пом. 3.9.11, г. Красногорск, Красногорский р-н, Московская обл., 143402
6|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Портал Хабаровск»|1062724039850|1062724039850|2724093028|№ 9 от 24.01.2008||ул. Большой Аэродром, д. 10, кв. 32, г. Хабаровск, Хабаровский край, 680014
7|2008-01-25 00:00:00|Институт системного программирования Российской академии наук|1037700067327|1037700067327|7709006125|№ 10 от 24.01.2008||ул. Александра Солженицына, д. 25, г. Москва,109004
8|2008-01-25 00:00:00|Общество с ограниченной ответственностью «Альбермонт Ложисьель»|5077746545157|5077746545157|7728617169|№ 11 от 24.01.2008||ул. Профсоюзная, д. 57, офис 731, г. Москва,117420
9|2008-01-25 00:00:00|ОАО «Главное Управление Проектов «Экономика»|1067746516166|1067746516166|7710625200|№ 12 от 24.01.2008||ул. Долгоруковская, д. 40, г. Москва 127006
10|2008-01-25 00:00:00|Закрытое акционерное общество «Датавижн СНГ»|1025202835800|1025202835800|7726074870|№ 13 от 24.01.2008||пр-д Бурнаковский, д. 15, корп. 33, офис 906, г. Нижний Новгород, Нижегородская обл., 603057
